timestamp,experiment,run_id,fit_time,load_time
2025-12-10T23:54:52.844978,base,1,78.7358,0.4806
2025-12-10T23:56:24.375346,base,2,83.2641,0.5003
2025-12-10T23:57:56.983628,base,3,84.3438,0.5767
2025-12-10T23:59:30.497746,base,4,85.6462,0.2943
2025-12-11T00:01:04.115777,base,5,85.693,0.581
2025-12-11T00:02:50.850481,add-precision,1,98.8429,0.3343
2025-12-11T00:04:41.502741,add-precision,2,102.7689,0.278
2025-12-11T00:06:28.161349,add-precision,3,98.0475,0.3225
2025-12-11T00:08:13.909739,add-precision,4,97.8983,0.2342
2025-12-11T00:09:59.968877,add-precision,5,98.3055,0.163
